Ano,Mês,Conta,Categoria da Conta,Valor
2021,Jan,Receita com Produtos,Receita Bruta,946878
2021,Jan,Receita com Serviços,Receita Bruta,20695
2021,Jan,Comissões,Deduções da Receita Bruta,-6628
2021,Jan,Devoluções,Deduções da Receita Bruta,-11363
2021,Jan,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-126540
2021,Jan,Custo Variável,Custo de Mercadoria Vendida (CMV),-94688
2021,Jan,Custo Fixo,Custo de Mercadoria Vendida (CMV),-56813
2021,Jan,Despesas Operacionais,Custos Operacionais,-18748
2021,Jan,Despesas Administrativas,Custos Operacionais,-9374
2021,Jan,Outras Despesas,Custos Operacionais,-750
2021,Jan,Impostos sob o lucro,Impostos sob o lucro e participações,-75750
2021,Jan,Participação,Impostos sob o lucro e participações,-47344
2021,Fev,Receita com Produtos,Receita Bruta,980000
2021,Fev,Receita com Serviços,Receita Bruta,21000
2021,Fev,Comissões,Deduções da Receita Bruta,-6800
2021,Fev,Devoluções,Deduções da Receita Bruta,-11500
2021,Fev,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-130000
2021,Fev,Custo Variável,Custo de Mercadoria Vendida (CMV),-98000
2021,Fev,Custo Fixo,Custo de Mercadoria Vendida (CMV),-56813
2021,Fev,Despesas Operacionais,Custos Operacionais,-19500
2021,Fev,Despesas Administrativas,Custos Operacionais,-9500
2021,Fev,Outras Despesas,Custos Operacionais,-750
2021,Fev,Impostos sob o lucro,Impostos sob o lucro e participações,-78000
2021,Fev,Participação,Impostos sob o lucro e participações,-48000
2021,Mar,Receita com Produtos,Receita Bruta,1050000
2021,Mar,Receita com Serviços,Receita Bruta,22000
2021,Mar,Comissões,Deduções da Receita Bruta,-7350
2021,Mar,Devoluções,Deduções da Receita Bruta,-12000
2021,Mar,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-140000
2021,Mar,Custo Variável,Custo de Mercadoria Vendida (CMV),-105000
2021,Mar,Custo Fixo,Custo de Mercadoria Vendida (CMV),-56813
2021,Mar,Despesas Operacionais,Custos Operacionais,-20000
2021,Mar,Despesas Administrativas,Custos Operacionais,-10000
2021,Mar,Outras Despesas,Custos Operacionais,-750
2021,Mar,Impostos sob o lucro,Impostos sob o lucro e participações,-82000
2021,Mar,Participação,Impostos sob o lucro e participações,-50000
